trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
160,0,160,0,10,320.38133,320.38133,0.0430949,[0.4564814814814815],[-0.2111111111111111],[1],[0],[0],[1.8342827000001307],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
161,0,161,0,10,322.2641832,322.2641832,0.0400544,[0.3861111111111111],[0.43333333333333335],[1],[0],[0],[1.6868547999997645],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
162,0,162,0,5,323.9728152,323.9728152,0.021757,[0.17777777777777778],[0.4601851851851852],[1],[0],[0],[1.3067356000001382],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
163,0,163,0,10,325.3341766,325.3341766,0.0447277,[0.24074074074074073],[0.3074074074074074],[1],[0],[0],[1.2328902000003836],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
164,0,164,0,10,326.6159807,326.6159807,0.0469063,[-0.12037037037037036],[0.008333333333333333],[1],[0],[0],[1.8136512999999468],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
165,0,165,0,5,328.459342,328.459342,0.0227329,[-0.22407407407407406],[-0.4666666666666667],[1],[0],[0],[2.2531152000001384],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
166,0,166,0,10,330.765442,330.765442,0.0431904,[-0.30185185185185187],[-0.1935185185185185],[1],[0],[0],[1.9345882000002348],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
167,0,167,0,5,332.7275736,332.7275736,0.0250889,[0.26851851851851855],[-0.21388888888888888],[1],[0],[0],[1.8153496999998424],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
168,0,168,0,5,334.5722326,334.5722326,0.0233874,[0.3574074074074074],[0.39351851851851855],[1],[0],[0],[1.6036300000000665],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
169,0,169,0,10,336.2322158,336.2322158,0.0449137,[-0.27870370370370373],[0.037037037037037035],[1],[0],[0],[1.4994599000001472],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
170,0,170,0,5,337.7565592,337.7565592,0.022335,[-0.4027777777777778],[0.2759259259259259],[1],[0],[0],[1.5022972999995545],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
171,0,171,0,5,339.2832932,339.2832932,0.0208361,[-0.03981481481481482],[0.06574074074074074],[1],[0],[0],[1.2739431999998487],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
172,0,172,0,5,340.58992,340.58992,0.0219006,[-0.2638888888888889],[-0.21203703703703702],[1],[0],[0],[1.6042403000001286],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
173,0,173,0,10,342.247571,342.247571,0.0457602,[0.17962962962962964],[-0.13055555555555556],[1],[0],[0],[1.4788365000003978],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
174,0,174,0,5,343.7561828,343.7561828,0.022275,[0.08796296296296297],[-0.2490740740740741],[1],[0],[0],[1.2540130000002137],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
