trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
167,0,167,0,5,252.6276517,252.6276517,0.0230619,[0.2175925925925926],[-0.35648148148148145],[1],[0],[0],[1.318751799990423],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
168,0,168,0,10,253.9783224,253.9783224,0.0280646,[0.1962962962962963],[0.1111111111111111],[1],[0],[0],[0.950910399958957],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
169,0,169,0,5,254.9541491,254.9541491,0.0122907,[-0.44537037037037036],[0.3962962962962963],[1],[0],[0],[1.2381552000297233],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
170,0,170,0,10,256.2530389,256.2530389,0.0491019,[-0.044444444444444446],[0.46944444444444444],[1],[0],[0],[2.4589373000198975],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
171,0,171,0,10,258.7684468,258.7684468,0.0447889,[-0.023148148148148147],[-0.17685185185185184],[1],[0],[0],[1.3139873999753036],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
172,0,172,0,5,260.0943035,260.0943035,0.016505,[-0.512962962962963],[0.05648148148148148],[1],[0],[0],[1.0761834000004455],[],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
173,0,173,0,10,261.195251,261.195251,0.0185241,[-0.44351851851851853],[-0.39444444444444443],[1],[0],[0],[1.2590533000184223],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
174,0,174,0,10,262.4808782,262.4808782,0.0218674,[0.33240740740740743],[0.48703703703703705],[1],[0],[0],[1.7897871000459418],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
175,0,175,0,5,264.2892228,264.2892228,0.0152881,[-0.49722222222222223],[0.07222222222222222],[1],[0],[0],[1.3783072999794967],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
176,0,176,0,10,265.6933957,265.6933957,0.0202306,[-0.10925925925925926],[-0.15185185185185185],[1],[0],[0],[1.1907112000044435],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
