trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
110,0,110,0,5,253.0681193,253.0681193,0.0250316,[0.09814814814814815],[0.08611111111111111],[1],[0],[0],[1.5164217000001372],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
111,0,111,0,10,254.638726,254.638726,0.0441535,[-0.4324074074074074],[-0.4351851851851852],[1],[0],[0],[1.784487099999751],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
112,0,112,0,10,256.4745826,256.4745826,0.0455457,[0.4935185185185185],[-0.4398148148148148],[1],[0],[0],[2.264418200000364],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
113,0,113,0,5,258.769469,258.769469,0.0255122,[-0.45740740740740743],[0.43425925925925923],[1],[0],[0],[1.630363500000385],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
114,0,114,0,5,260.4255921,260.4255921,0.0211802,[0.19907407407407407],[-0.2101851851851852],[1],[0],[0],[2.0078372999996645],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
115,0,115,0,5,262.4636862,262.4636862,0.0231682,[0.2537037037037037],[0.2953703703703704],[1],[0],[0],[1.5539027000004353],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
116,0,116,0,10,264.0765566,264.0765566,0.0479286,[-0.4064814814814815],[0.43333333333333335],[1],[0],[0],[1.8774860000003173],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
117,0,117,0,10,266.0060565,266.0060565,0.0467096,[-0.3962962962962963],[0.030555555555555555],[1],[0],[0],[2.095785800000158],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
118,0,118,0,5,268.1298451,268.1298451,0.02185,[-0.2574074074074074],[0.4981481481481482],[1],[0],[0],[2.0362687999995615],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
119,0,119,0,5,270.1990803,270.1990803,0.0290179,[0.08518518518518518],[-0.4638888888888889],[1],[0],[0],[1.9143786000004184],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
